period,date,red1,red2,red3,red4,red5,red6,blue
2024101,2024-09-01,03,12,18,23,27,31,09
2024100,2024-08-29,01,08,14,22,28,32,11
2024099,2024-08-27,05,09,15,20,26,30,07
2024098,2024-08-25,02,11,17,21,25,33,14
2024097,2024-08-22,04,07,13,19,24,29,06
2024096,2024-08-20,06,10,16,24,28,32,12
2024095,2024-08-18,01,05,11,18,27,30,08
2024094,2024-08-15,03,08,14,20,23,31,10
2024093,2024-08-13,07,12,16,22,26,33,05
2024092,2024-08-11,02,06,13,17,21,29,15
2024091,2024-08-08,04,09,15,19,25,30,03
2024090,2024-08-06,01,07,12,18,24,28,13
2024089,2024-08-04,05,10,16,21,27,32,06
2024088,2024-08-01,03,11,14,20,26,31,09
2024087,2024-07-30,06,08,17,22,25,33,11
2024086,2024-07-28,02,09,13,19,23,30,04
2024085,2024-07-25,04,07,15,21,28,32,08
2024084,2024-07-23,01,10,16,24,27,31,12
2024083,2024-07-21,05,12,18,20,26,29,07
2024082,2024-07-18,03,06,14,22,25,33,10
2024081,2024-07-16,07,11,15,19,24,30,02
2024080,2024-07-14,02,08,13,17,28,31,15
2024079,2024-07-11,04,09,16,23,27,32,06
2024078,2024-07-09,01,10,12,18,22,29,14
2024077,2024-07-07,05,07,14,20,26,33,09
2024076,2024-07-04,03,11,17,21,25,30,11
2024075,2024-07-02,06,13,15,24,28,31,05
2024074,2024-06-30,02,08,16,19,23,29,13
2024073,2024-06-27,04,09,14,22,27,33,08
2024072,2024-06-25,01,12,18,20,26,30,10
